0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
14.486408,70770.34,3635.731,2708.068,0.05088902,0.053244036,8.697452,144.0358,64137.023,4965.173,88877.8,3524.6177,37753.504,29394.498,1.17089e-08,2.1912395e-08
17.84173,46329.234,7434.9,2608.6338,0.057621997,0.036808472,11.988449,148.08022,59581.766,7216.3096,31304.695,5770.3286,5838.5586,27853.145,1.5095585e-08,1.2367275e-08
15.513276,57410.254,5263.4277,2677.6987,0.07995099,0.0378777,16.912483,136.56497,69056.42,5444.7314,57677.9,7358.316,6002.974,26805.68,1.8644828e-08,1.16606484e-08
10.646397,114160.53,3516.3516,1827.6636,0.06363785,0.051365454,10.725112,101.29429,32432.033,3256.0378,133744.19,7017.7456,8739.242,46033.973,9.843872e-09,1.5262927e-08
22.909767,121591.53,8636.224,2145.2932,0.049960688,0.055702157,8.884958,96.245995,67072.1,6727.7324,91269.48,2598.466,30641.877,48361.297,7.2557174e-09,1.1244413e-08
13.193456,69218.555,6568.1313,1925.2056,0.03938183,0.044433717,11.675714,102.78681,34996.66,9526.065,103730.45,4699.461,15625.48,26393.17,1.2769375e-08,6.3789027e-09
25.479874,45852.664,13109.551,1501.5251,0.015655272,0.035275005,16.521343,79.705666,83696.18,15044.198,14692.169,4459.6914,147171.11,23719.297,1.737024e-08,1.9243359e-08
4.64165,137559.39,3862.8962,2141.153,0.031464033,0.01581691,39.284096,65.48093,65761.13,4006.3435,176743.3,3926.8687,31475.482,49226.516,7.0367756e-09,1.7950642e-08
9.8932705,139876.4,2884.6416,3831.742,0.02594531,0.020451853,24.003935,91.90949,32087.252,2394.5452,192035.73,6085.1567,34398.895,51918.645,8.3122655e-09,1.070519e-08
28.771273,80819.73,8373.095,2849.7964,0.035004172,0.045950823,10.002535,157.16022,70130.87,7528.2817,72266.234,9715.608,12257.165,49387.336,1.0099828e-08,1.1628976e-08
14.861825,124359.31,4796.9136,4755.0566,0.046426617,0.027535625,28.042961,42.627003,31682.95,4584.9976,127592.82,6504.091,69651.164,46521.113,7.2111956e-09,2.7632476e-08
8.69891,89026.42,6208.6147,3396.04,0.039624628,0.02971253,14.977848,84.48403,43919.637,6249.4917,100898.81,6474.4106,13459.027,42390.49,7.796418e-09,1.1801454e-08
13.377552,48337.87,3762.8794,1722.8695,0.024863403,0.04530487,16.210491,91.8585,42744.477,3432.4229,42598.188,7827.197,2704.256,21941.45,1.8039744e-08,1.28083055e-08
17.939072,94060.586,2728.164,2943.1326,0.04037322,0.039984647,11.396072,25.58056,20265.197,3223.9927,138021.55,1558.046,224615.52,29651.951,1.4006397e-08,1.0246381e-08
18.937847,128374.83,6260.9033,2331.2078,0.08825506,0.025639568,18.553118,88.24961,44014.527,6116.1846,184320.72,5929.0664,6706.2793,56269.832,7.3883175e-09,3.2757352e-08
21.058266,104123.14,6569.109,1920.1191,0.068016455,0.019743122,16.900726,234.857,59071.71,8919.634,159558.42,2087.1577,250371.08,38632.074,9.005875e-09,2.0100353e-08
14.294827,85668.63,5090.685,2068.2954,0.031609975,0.028976854,16.778097,44.9078,251697.11,7924.568,243550.38,12374.725,6641.367,31077.201,1.2368668e-08,1.8829127e-08
25.331503,108033.695,9177.856,1686.4601,0.07874183,0.04689068,10.030885,129.75465,97912.73,9808.996,85340.99,7264.6177,39554.355,48068.164,8.086591e-09,1.957785e-08
27.154474,72025.695,4497.1987,3382.952,0.19910476,0.05348397,8.198361,168.66249,49365.297,3484.96,52030.67,18024.705,11987.647,31693.828,1.4732095e-08,1.04684394e-08
15.084365,45419.367,6204.1875,3082.6577,0.03515211,0.09953298,4.243003,263.50198,62271.785,5925.505,50814.035,6231.357,4288.1646,27055.707,1.8252113e-08,1.32291085e-08
17.376757,96098.99,5901.582,2990.548,0.09961457,0.029795174,25.62957,178.5049,36855.527,5907.9844,158204.9,1697.018,29294.646,38525.67,1.2690294e-08,2.114211e-08
32.724247,92156.625,9104.662,2544.4978,0.15062526,0.045731086,7.0838413,108.04539,76766.29,7170.32,95325.766,3532.8015,46304.938,44136.723,9.565735e-09,2.4923855e-08
21.940355,45500.87,5088.1953,3335.6091,0.02686348,0.022453317,25.987242,59.048443,66656.98,6492.5386,65000.824,9494.322,4444.326,21726.006,2.0593982e-08,1.4866568e-08
14.133532,142489.48,6250.195,2738.5742,0.07147197,0.032791972,16.900095,85.274025,145311.48,5788.2246,159968.28,1755.2524,65232.766,64400.082,8.217698e-09,1.3198309e-08
6.6513305,92894.38,5965.1094,2885.8057,0.07667227,0.052928913,9.87744,232.29596,76187.05,5162.8047,68735.14,4085.155,26720.002,39409.094,1.034338e-08,1.5386568e-08
