0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
18.411264,91986.5,7341.5176,1846.4148,0.06152167,0.04960774,13.163434,45.723507,186469.9,7355.1743,87674.3,2016.989,18315.078,38138.043,1.12E-08,1.45E-08
10.826147,133620.48,2529.7598,1899.0685,0.063555464,0.06304003,7.696309,61.55873,113031.6,2580.2275,152428.16,1613.369,33886.883,56118.69,7.88E-09,1.56E-08
13.643065,134813.17,4524.3657,4652.8066,0.030040842,0.03389129,15.835564,117.189705,122232.34,4143.1665,128661.65,5250.2773,24676.27,59504.01,6.97E-09,8.31E-09
20.8038,67259.94,5798.231,2541.4932,0.05033891,0.050687894,20.468882,86.955,172273.25,6239.1685,79889.42,2189.43,32602.95,26098.637,1.72E-08,1.23E-08
33.137634,107640.05,3249.7092,3300.6824,0.039455075,0.029531976,18.620682,139.09346,147644.14,3119.1409,104918.82,6337.733,4415.698,67930.21,7.67E-09,8.28E-09
28.89986,84687.266,7143.323,3779.0093,0.019876912,0.029703714,19.079765,132.54665,239140.47,7908.947,84963.18,2775.144,37649.74,33995.52,1.20E-08,2.04E-08
15.801595,98659.75,2447.3472,3429.0144,0.08334637,0.079302534,5.718757,101.60107,95865.48,2721.737,108204.56,3984.1045,50804.004,35632.9,1.08E-08,2.23E-08
16.272072,115275.766,4188.3525,2199.3596,0.005496622,0.0365457,16.579676,167.92767,197849.95,3914.4617,91675.33,3981.481,3252.6626,70883.83,7.64E-09,2.12E-08
9.480371,110269.57,3780.8062,4638.9814,0.03420216,0.027790926,11.439727,121.508194,230292.02,3782.161,102383.49,5960.9624,40543.37,54151.242,8.86E-09,1.21E-08
21.760517,117561.42,6313.414,3276.4531,0.036925197,0.027368924,22.884722,153.79965,188545.45,6288.5703,101340.53,3812.9778,47243.28,51567.055,8.33E-09,1.41E-08
11.143056,93386.94,3911.928,3106.779,0.11555478,0.043457657,10.06534,185.00374,118143.83,4005.0632,86886.61,2935.3977,10999.593,42060.543,1.06E-08,9.89E-09
32.497902,87515.86,2536.522,2462.5186,0.043292925,0.05808021,9.767266,173.10074,134243.44,2611.6226,71621.32,2784.086,13931.172,46881.215,1.06E-08,1.14E-08
32.740025,84851.78,3352.825,2861.4731,0.04708428,0.038025104,17.07065,64.476036,322998.4,3341.679,83272.87,3726.0876,12614.674,39210.84,1.11E-08,1.08E-08
24.271296,260799.36,3705.3264,4773.7793,0.007299488,0.028816443,27.153065,100.61584,135681.95,3959.6343,291645,2264.2473,28374.941,97136.96,4.05E-09,8.15E-09
19.398212,75963.516,3290.2144,1764.2535,0.011587877,0.026769403,13.310943,205.14436,213258.19,3276.7222,96223.75,8204.454,660.61334,65877.94,8.96E-09,1.64E-08
7.2442727,92920.7,7875.2666,2806.6348,0.11053173,0.053367287,8.899106,17.47518,144955.22,8393.551,78441.58,3162.2358,85071.38,41550.78,1.12E-08,1.07E-08
23.728746,100841.31,3022.168,1867.1431,0.044174,0.050579913,10.490492,138.23206,350967.53,2894.7722,104267.49,1979.8601,25602.375,42382.69,1.13E-08,1.56E-08
16.083994,88264.47,5954.653,2155.2166,0.06779995,0.04971967,11.474227,45.053284,261582.1,5901.698,79669.93,3077.487,12811.6,39862.766,1.14E-08,1.40E-08
15.711991,104058.72,6269.6533,2417.1738,0.012253255,0.029735444,11.7194,63.94899,384046.03,6175.257,110781.125,2380.263,77041.74,48493.53,1.01E-08,1.01E-08
