diversity_domestic,diversity_scot,diversity_captive,segregating_sites_domestic,segregating_sites_scot,segregating_sites_captive,tajimas_d_domestic,tajimas_d_scot,tajimas_d_captive,divergence_domestic_scot,divergence_domestic_captive,divergence_scot_captive,relatedness_domestic_scot,relatedness_domestic_captive,relatedness_scot_captive,fst_domestic_scot,fst_domestic_captive,fst_scot_captive,f2_domestic_scot,f2_domestic_captive,f2_scot_captive,f3_domestic_scot_captive,y2_domestic_scot,y2_domestic_captive,y2_scot_captive,y3_domestic_scot_captive,pc1_median_domestic,pc1_median_scot,pc1_median_captive,pc2_median_domestic,pc2_median_scot,pc2_median_captive,pc1_iqr_domestic,pc1_iqr_scot,pc1_iqr_captive,pc2_iqr_domestic,pc2_iqr_scot,pc2_iqr_captive,pc1_dist_domestic_scot,pc1_dist_domestic_captive,pc1_dist_scot_captive,pc2_dist_domestic_scot,pc2_dist_domestic_captive,pc2_dist_scot_captive
0.00046914726073298593,0.0008080076557447717,0.0012192035312979567,0.0013115406483756341,0.0037797446681789616,0.003542848506461193,0.3800000058352836,0.524310307927503,1.8006758993903536,0.0006612239167564528,0.0010828935338782208,0.0011232137939694523,-1.4411895162825081,-6.523564827722683,-33.19790348636703,0.017423014741506426,0.12387628390434302,0.0512950233837014,2.2646458518419213e-05,0.00023871813786274936,0.00010960820044850867,7.587819796639926e-05,0.00025722008888479087,0.0004732917682292967,0.0005136120283207334,0.0003104518283327655,-176.6699116817384,-110.30176394266141,247.54774021641185,3.829068274698225,4.005174098570349,4.362490878270345,0.5070860224325884,195.6641782511804,306.12784239490065,1.842804643324346,96.98607921935391,170.64098259056448,66.36814773907699,424.2176518981503,357.84950415907326,0.1761058238721236,0.5334226035721197,0.3573167796999961
0.0004772374342303236,0.000912250934349381,0.001206532958973693,0.00133436348933152,0.003679203222594102,0.0033995954242689985,0.3792100192953595,1.1440191565020188,1.9743094933161927,0.0007405129981987534,0.0011744266462547564,0.0011897865714095722,-2.259224826446329,-9.06131592096457,-39.7326159916104,0.03188892866541315,0.16492560455410243,0.0579743331622522,4.576881390854349e-05,0.00033254144965310636,0.00013039462474866584,0.00012395781940641916,0.00028438753102342726,0.0005711601667679147,0.0005865200919234324,0.0003625765365215725,-198.21793914399785,-99.9043913176977,208.49451640266324,-25.01676003353957,-23.472119477086203,52.581840138882676,0.8318337374860789,218.03732116806296,350.6003928725279,1.5804727668986338,62.54177330870829,260.36971836989187,98.31354782630015,406.7124555466611,308.39890772036097,1.5446405564533663,77.59860017242224,76.05395961596888
0.0003532158210926085,0.0008367831225117523,0.0011316097237300986,0.0010540165803572072,0.003482778968243641,0.003214011459440273,0.056851850849458783,1.0046637535122847,1.9288845229030644,0.0006483100408735938,0.0009695199506766467,0.0010428986524414882,-2.4563200341186797,-6.693076565051415,-21.253972925483918,0.04287795478752654,0.13266127529569915,0.028958794300398383,5.3310569070954316e-05,0.00022710717826484968,5.870222932024605e-05,0.00011085775900784612,0.00022991847961729585,0.00040371508881156164,0.0004770937905760457,0.0002874656695541838,-194.77499538808542,-60.00011287110179,156.22925234652016,-1.0643863052259324,-1.6078487444466436,9.563097213220201,0.37119491790477355,208.52220164321187,272.1188840674438,1.0806191827968799,75.13465104607613,198.73863622758176,134.7748825169836,351.00424773460554,216.22936521762193,0.5434624392207112,10.627483518446134,11.170945957666845
0.00033772537857453124,0.0007029774144970458,0.0011601935072727105,0.0009886164865483878,0.003384969992331615,0.0031261916759387724,0.1498214969687619,0.413749905632347,2.2356370841956688,0.0005443805900478181,0.0010332045185414316,0.0010696709503403585,-1.4488910878061558,-8.380373728236355,-44.86076330018788,0.022568302459975653,0.15949434606686974,0.06899939891807261,2.4029193512327256e-05,0.0002842450756175003,0.00013808548945568015,8.509438983715023e-05,0.00019289188279967786,0.0004531077649048527,0.0004895741967041776,0.0002539570791244451,-175.11313404286136,-121.21120018292481,188.20510066847712,-7.904834864000691,-8.411526326391995,-37.98284369410319,0.30612475690202245,198.300651489215,413.05079984494506,2.172887265124671,68.53650592287511,156.87774728823462,53.90193385993655,363.3182347113385,309.41630085140196,0.5066914623913039,30.078008830102497,29.571317367711195
0.000535528423819692,0.0010117578098927118,0.0011829780309097183,0.0014775717769389145,0.003548649405192866,0.0033031526831933896,0.44767191299739206,1.8179063633489185,2.0263823418418085,0.0008507127724877896,0.0011591236073448504,0.0011655902583974115,-3.495091043725566,-8.596956683932909,-24.05948366436611,0.047446286948060856,0.1485700662152598,0.030147414404456674,7.706965563226962e-05,0.0002998703799797006,6.822233799673872e-05,0.00015435884880764776,0.000344833867541513,0.0005676345918893649,0.000574101242942667,0.0004221230607172498,-215.12901525303334,-65.89572538950232,150.82606111222864,-6.98260477121765,-7.774718133546385,39.88944275247457,1.4395792305112707,270.3357608148974,172.90946728736236,1.9216048361991298,98.62778065360735,157.28309791424317,149.233289863531,365.955076365262,216.72178650173095,0.7921133623287346,46.872047523692224,47.66416088602096
0.0004716350569540103,0.0007238691168187253,0.0012071301160512429,0.0012674403796394816,0.003538996172168345,0.003321899216932425,0.5860949428850926,0.3568963773771821,2.1109839446535617,0.0006092899283687865,0.001099226137214294,0.0011235426515685246,-1.1545830264966688,-7.467764678784411,-48.336008010805564,0.009558773710109603,0.13403609894701496,0.07565334486246733,1.1537841483180004e-05,0.0002598435507115321,0.00015804303513357128,5.6669178530537815e-05,0.00024735536995995963,0.00049566107918863,0.0005199775935429805,0.0002924867070074742,-158.24383358981544,-155.54728311262633,249.4378118037745,0.7707278667874901,1.3016513813444104,1.831709446807631,0.38176918662500725,134.17944563343426,385.984710187021,0.7578580599193603,6.5863397236750885,173.7033908238098,2.6965504771891062,407.68164539359,404.98509491640084,0.5309235145569203,1.0609815800201408,0.5300580654632205
0.00043634065701312306,0.0008346958768825109,0.001117858098353754,0.00124416959283559,0.0036153933365457025,0.003376526213096709,0.2798973915679468,0.8343863354009009,1.5901434485837989,0.000669321663750145,0.0009600180771318871,0.0010373014454876897,-1.8350182373373258,-5.380845759910849,-21.19647737286099,0.025906163665796456,0.10530013324164933,0.030306471735213614,3.380339680168751e-05,0.00018291869944844262,6.1024457869281935e-05,7.784881919042252e-05,0.0002519737253081385,0.0004010890279548104,0.00047837239631058707,0.0002960191476970338,-180.17798774566143,-51.746024001122656,157.15388691990137,-14.898756127252557,-14.22451969622745,-26.61677048861787,1.0901264402068875,186.1462113468674,267.0039760321908,2.1134641431612113,123.60813494608202,144.03232618237882,128.43196374453876,337.3318746655628,208.89991092102403,0.6742364310251077,11.718014361365313,12.39225079239042
0.0004970067776556928,0.0008685058368990234,0.0011427668790109074,0.0014048029739304028,0.003666436765925942,0.0033347104681853853,0.32399118441714675,0.9433200044109357,1.7774281384214266,0.0007148734014620811,0.001422682590248099,0.0013543404013148495,-1.8417486264418663,-15.878458780932801,-98.2635403211624,0.022979687669697713,0.26879692415323964,0.14775740565672968,3.211709418542128e-05,0.0006027957619150446,0.0003487040433595501,0.00014310440637047356,0.0002806204830130514,0.0008512991507429974,0.0007829569618091382,0.00039160779519829977,-197.34171231595957,-158.11208658725187,383.39446171597655,-6.809090428329831,-7.079381221744023,48.132072118582215,0.11438212641073164,191.25205750403498,281.5569907394738,1.7042739203872372,39.18836598417299,150.36987278741498,39.2296257287077,580.7361740319361,541.5065483032284,0.27029079341419227,54.94116254691205,55.21145334032624
0.0005082651499689329,0.0007463545706499105,0.001176994390041533,0.0014236166995466384,0.0035300372552082328,0.0032640918052473005,0.3702301308174074,0.481815084773961,2.0659079879117774,0.0006413032731031743,0.0011015592773848245,0.00111784470758686,-1.2961112157573582,-7.551620768699929,-48.02835120937193,0.011030480786613062,0.13318123961617157,0.07509919992438241,1.3993412794450338e-05,0.00025892950737877254,0.00015617022724077399,5.83763464662505e-05,0.0002681259877786547,0.0005130620823631721,0.0005293475125659923,0.0003125089214505909,-148.46718791780145,-145.90420391140313,257.0269457545763,-17.582246971598238,-16.69262878367036,-30.620997921044147,0.6212205102800681,122.82419358418159,360.97954178732596,0.24551893742063058,18.914384585454883,247.7611937411604,2.562984006398324,405.49413367237776,402.93114966597943,0.8896181879278764,13.038750949445909,13.928369137373785
0.0004623798848989338,0.000850237555744328,0.0012658159126064492,0.001297967889181064,0.0037849184427234265,0.003508603046381164,0.3589270846380781,0.7213342042907753,2.068912947877355,0.0006869159515979751,0.0011840375732829465,0.0012074359425464302,-1.6872955241605856,-8.50687855731011,-43.78557649278998,0.022786382588255605,0.15621021114011935,0.06595085847419047,3.0607231276453426e-05,0.0003199396745302814,0.00014940920837148947,0.00010056884871751634,0.00026179717372589714,0.0005511296169795324,0.0005745279862434321,0.0003317587911669431,-188.23222668619297,-96.68151141985926,189.1359018881551,-2.2973691179605833,-3.8628154276938083,12.930299261802954,0.8294414900628624,199.27143391516165,268.1729667110419,1.2752894001968187,61.238302214716114,234.54505278855726,91.55071526633371,377.3681285743481,285.81741330801435,1.565446309733225,15.227668379763537,16.79311468949676
