captive_time,div_time,div_time_dom,div_time_scot,mig_rate_captive,mig_rate_scot,mig_length_scot,pop_size_captive,pop_size_domestic_1,pop_size_lyb_1,pop_size_lyb_2,pop_size_scot_1,pop_size_eu_1,pop_size_eu_2,mutation_rate,recombination_rate
17.242647,123517.75,5587.6816,3154.81,0.031467356,0.04428376,9.660893,95.114494,217492.53,5598.275,285927.56,2075.445,64033.367,34509.695,1.10E-08,8.95E-09
17.297827,115340.34,4523.4893,1891.3846,0.06442031,0.027865162,17.227283,64.56907,225178.73,4057.1387,105111.25,1757.4642,22481.793,49949.246,9.82E-09,1.33E-08
35.07019,138865.47,2771.204,2822.893,0.022851108,0.016806412,29.39503,144.00839,340773.3,2785.4338,157883.42,1899.7925,20832.91,51256.992,9.14E-09,1.14E-08
30.78413,110541.77,4592.4937,2880.8325,0.04688278,0.02748854,19.433596,272.89603,195133.53,4571.4365,94407.484,1521.557,31016.857,41838.727,1.13E-08,1.04E-08
21.935513,54872.906,3013.8079,2801.927,0.099939644,0.049869742,8.085962,156.36874,222634.73,3180.3328,78853.484,3320.1692,9783.688,19583.479,2.33E-08,1.95E-08
27.488535,85207.95,4535.1475,2567.746,0.020085162,0.028822806,17.307465,56.906143,229476.84,4231.0215,66911.805,1680.4429,15507.386,26864.08,1.41E-08,1.27E-08
25.13115,86192.2,3135.305,2418.2576,0.032610174,0.056165334,10.197602,139.82751,114822.44,2951.058,84708.766,2192.3923,10776.96,33365.938,1.28E-08,1.72E-08
22.527246,83624.05,5474.529,4619.773,0.053716958,0.028758314,15.095912,91.51966,305385.34,5096.7817,68538.375,4826.5713,15366.41,35521.28,1.30E-08,1.61E-08
43.37903,70029.945,2983.5288,4558.1025,0.05428111,0.031703874,16.17035,36.808743,159283.23,2824.475,86199.69,1806.4274,43184.008,19111.482,1.81E-08,1.18E-08
57.355854,94681.586,1722.518,3635.2766,0.025568496,0.027698113,17.759912,117.68068,152873.42,1574.9362,125843.695,3882.4258,17110.98,33847.8,1.26E-08,1.16E-08
47.529064,110113.01,6890.1465,1336.4614,0.073016964,0.08791981,5.5753465,163.09303,253196.3,6955.58,89314.53,599.79926,11666.882,40443.695,1.15E-08,2.41E-08
29.926283,82959.27,4983.0137,2063.9692,0.0378352,0.055124618,8.098332,67.06819,94688.71,5368.601,75285.016,4420.1733,1962.9485,41283.402,1.17E-08,9.60E-09
8.621266,215339.7,4834.3843,2380.6875,0.02147842,0.05676774,9.719787,152.43658,185523.98,4572.4697,223605.89,3305.9631,14855.788,81026.87,5.20E-09,1.18E-08
63.29309,93454,3403.215,1747.8566,0.070597395,0.06464478,7.3259373,124.43594,277374.56,3467.2178,83753.18,2390.7131,4298.306,47209.21,1.07E-08,1.67E-08
33.855206,105849.2,6570.644,2391.9011,0.02891076,0.056636553,12.605003,52.9849,172588.95,5701.748,99713.7,1864.077,49414.19,35680.85,1.06E-08,1.26E-08
21.090645,102000.69,4282.0957,3035.98,0.038884114,0.04472546,13.309464,123.492546,158574.53,4184.4175,110745.305,1679.5938,16008.57,39446.43,1.10E-08,1.62E-08
13.297086,33241.785,3632.1094,2577.7395,0.07274423,0.02278479,15.025329,37.589615,66742.914,3784.1802,44900.32,5149.931,1553.591,18822.492,2.26E-08,1.10E-08
22.783163,168444.86,3156.5825,2800.8904,0.012857696,0.062041763,9.23517,112.65579,198205.11,3003.5757,191201.69,1342.9902,47315.63,55918.316,7.59E-09,1.61E-08
9.33824,88004,4594.158,3524.4326,0.023413585,0.051016018,11.147591,102.726295,493166.25,4807.117,100385.9,2380.4673,58878.12,27541.592,1.62E-08,2.13E-08
41.72031,75482.71,5551.833,3396.62,0.046329588,0.058219627,9.681182,40.680244,254120.61,5228.557,78528.39,1484.1465,136096.47,24780.305,1.66E-08,1.19E-08
2.7113056,65837.125,4187.983,3364.9011,0.001270791,0.08376142,4.899675,149.56897,250735.22,4771.9463,66157.49,12567.393,4898.6016,29485.69,1.46E-08,1.39E-08
18.887236,103323.58,3879.2021,5398.1777,0.07666719,0.045976017,13.006718,95.00892,104299.24,3352.1277,90428.9,2915.5361,54666.645,41067.19,1.10E-08,1.57E-08
40.972694,145980.56,5431.5166,2204.6943,0.01661555,0.019522497,32.47785,146.93016,202478.2,5486.6606,139687.12,2298.2957,56726.258,51687.74,7.59E-09,9.79E-09
17.731554,77186.93,5277.39,2245.3618,0.048391636,0.047000617,12.472598,133.98624,218609.23,4980.7476,106768.76,596.92236,28327.918,22686.682,1.77E-08,1.46E-08
23.072052,112504.64,3873.5757,1988.8022,0.060313594,0.03945626,14.869328,25.822165,186863.02,3949.6816,135735.1,1667.5046,3404.0037,45258.562,9.75E-09,1.69E-08
13.748428,66328.32,5410.6875,3303.6091,0.018603146,0.063585795,8.081332,89.9122,154832.03,5395.209,103360.05,2866.5132,15640.566,18214.299,1.84E-08,1.44E-08
40.49175,76471.164,4206.5234,3825.3267,0.04237788,0.06176851,6.188609,139.957,90619.35,3952.994,70828.34,5853.852,12085.69,26130.844,1.40E-08,1.04E-08
15.347114,61025.535,4110.2983,2545.646,0.03187928,0.04268691,10.722814,178.48721,279554.53,4022.0046,53279.785,2879.4756,9458.452,21237.705,1.88E-08,9.46E-09
28.484009,169742.03,5518.1924,3174.5967,0.029270655,0.07227264,7.480906,50.98873,160668.22,5794.587,178638.02,3588.9246,10848.866,63724.516,6.67E-09,1.29E-08
17.394491,144431.69,2794.2686,2638.3381,0.06100163,0.058171876,9.547692,101.57265,382506.8,2698.681,164815.31,1419.622,13580.456,52016.973,8.06E-09,1.06E-08
50.88405,65468.41,5117.8086,1634.531,0.06757265,0.05220854,9.439091,107.48189,120664.06,5418.732,77324.12,3122.0364,5067.2275,19893.904,1.72E-08,2.05E-08
26.036598,58359.457,4116.3906,1456.773,0.024872787,0.05729772,8.163773,494.31485,229386.03,3937.072,60353.184,1304.9371,7658.366,19908.992,1.94E-08,1.02E-08
24.50476,128902.6,3508.5198,2992.5994,0.027808728,0.04318867,11.249279,85.07088,351434.7,3612.5847,150776.72,4223.6074,6031.092,57850.984,8.08E-09,1.17E-08
37.972385,99531.86,7407.546,2660.04,0.036652543,0.065682106,8.321068,51.52796,346313.03,6722.7944,77857.7,1926.4563,28276.582,38710.812,1.22E-08,9.87E-09
19.059853,87287.92,4870.8843,3331.978,0.04735806,0.06317585,7.0770164,167.09824,271537.9,4834.827,61905.438,4857.5845,5474.325,49966.35,1.04E-08,1.36E-08
20.94459,108965.78,4506.421,3330.361,0.050283875,0.030370453,16.73122,69.637474,179724.98,4503.465,109515.64,2161.6055,65898.19,42117.48,1.06E-08,9.71E-09
29.35636,68185.54,4131.7095,3495.5984,0.07169692,0.021603152,22.551016,41.174187,235723.94,4158.278,74769.914,2267.148,40624.953,24301.104,1.78E-08,2.00E-08
12.50989,86153.914,6184.1914,3413.962,0.017389355,0.07091797,5.8273783,80.23729,292320.9,5482.5073,82383.18,9085.492,5868.8384,45756.96,1.10E-08,1.41E-08
36.863453,133079.53,5115.0854,3839.4197,0.023851601,0.048143234,11.13345,57.706615,179073.14,4802.9746,133261.28,5910.746,63850.793,51343.98,8.55E-09,1.43E-08
8.139703,82458.65,2972.1707,2550.664,0.018369243,0.06597073,6.5341396,83.07109,226309.22,2838.7605,99126.9,2902.9746,4590.6724,29308.03,1.43E-08,1.50E-08
7.033779,63382.312,5465.4785,4884.1963,0.071276754,0.07935258,5.870697,46.09496,388459.25,5097.9243,53808.24,6681.147,29983.516,20967.371,1.79E-08,2.37E-08
26.268215,74162.94,6497.73,2530.2441,0.10375569,0.030445268,18.013979,69.79581,147265.88,6561.6772,71485.23,2986.6975,3111.235,36474.434,1.26E-08,1.24E-08
26.851992,74631.13,2342.1182,3426.9153,0.0381339,0.033498358,16.298311,65.305214,123800.67,2448.1636,69182.33,1447.435,16697.748,22760.406,1.62E-08,1.31E-08
53.9634,105506.24,4485.9165,3449.4146,0.11918319,0.034962054,13.634559,41.82894,300304.9,4682.729,92380.305,4135.178,17859.55,43905.066,1.13E-08,1.37E-08
14.109085,72888.68,3484.3552,2614.4978,0.08304978,0.05295081,6.913874,136.08076,190524.22,3549.796,39706.137,9424.237,3703.2168,50737.918,1.12E-08,1.17E-08
21.740583,60308.477,3364.7534,2534.99,0.045820612,0.02777034,12.964836,40.99776,194111.38,3697.549,78683.86,1281.9058,14029.236,16718.701,2.15E-08,1.39E-08
8.707957,122962.766,4230.8315,5118.5015,0.008069872,0.03820227,14.933057,91.45436,107368.336,4011.4402,138601.52,4925.533,29894.576,38923.56,9.69E-09,1.28E-08
12.947549,77125.414,2580.0662,2088.914,0.060309656,0.0843162,5.368998,30.445349,109480.555,2572.6904,71001.07,6455.199,1838.5127,38234.87,1.23E-08,1.51E-08
10.911557,63910.137,3966.4448,3606.6704,0.02448379,0.06026455,10.073828,145.795,171544.34,4050.2341,66580.805,1537.2977,17454.387,18821.324,1.96E-08,1.55E-08
26.029644,83138.12,3844.267,3434.4104,0.04159589,0.049631704,12.781101,179.5444,250711.77,3936.096,106009.73,4112.2354,41057.91,28446.004,1.38E-08,9.01E-09
9.030339,106512.78,5395.6196,2318.1035,0.06289093,0.06512688,7.869162,69.79251,264304.38,5640.493,89456.125,3133.5085,12333.864,43920.184,1.12E-08,1.30E-08
14.210637,65326.21,4834.6426,5311.356,0.027729757,0.0603384,9.03556,108.05343,382015,4549.7896,61388.375,5726.1606,32369.457,24158.924,1.70E-08,1.48E-08
24.7925,146998.84,10914.357,3041.785,0.042160172,0.069806635,8.507439,50.54304,525193.06,9945.429,150057.61,2283.8008,30060.85,49069.457,8.50E-09,1.46E-08
54.382507,120276.66,3704.5056,2977.7673,0.033384234,0.029254995,15.089869,91.41145,274905.66,3776.8108,164733.77,4094.6099,8878.202,39910.805,1.08E-08,1.46E-08
24.206966,90121.98,7377.491,3890.8472,0.020400349,0.03973437,19.172464,135.68518,306952.16,7695.103,100019.43,4461.827,13562.854,40236.605,1.24E-08,8.36E-09
20.566069,122178.2,4449.899,2885.6006,0.017824182,0.04565602,11.999966,43.84367,133057.2,4080.3425,129087.74,2309.7983,67493.09,39483.35,9.66E-09,1.26E-08
11.032546,73095.29,4000.3152,2550.9475,0.015441609,0.019594332,35.268314,59.829754,192113.94,3724.709,96421.2,1202.4946,77753.23,23369.744,1.55E-08,1.34E-08
21.003798,72515.734,4763.8574,2632.5159,0.021047167,0.063992135,9.543181,291.31912,235923.44,4836.109,61155.58,2664.2598,17662.611,28713.766,1.46E-08,1.59E-08
11.855807,69786,3701.8503,3480.463,0.030902227,0.04079386,12.212857,103.12767,237234.28,3536.0984,52096.957,8590.503,3688.3499,35485.35,1.38E-08,9.85E-09
72.62653,97575.28,2892.6277,2347.9407,0.03546717,0.04003822,11.983075,75.92357,195302.58,2967.6604,84233.234,1526.4119,23539.56,33864.883,1.18E-08,1.20E-08
44.59092,71173.13,5719.808,2484.2537,0.052839145,0.048159156,8.709041,197.69228,418650.1,5640.2085,56035.977,2403.5115,31077.467,27107,1.56E-08,7.18E-09
20.749971,47804.387,4462.1416,4037.6384,0.069406904,0.08071838,6.5646935,235.56099,170738.39,4439.742,48927.957,1364.3936,76299.09,14607.781,2.51E-08,1.18E-08
10.989322,70848.805,4066.3699,3367.6682,0.040677864,0.054300606,8.926357,82.99148,120389.58,3816.4282,98637.86,1681.8738,28635.037,20105.326,1.84E-08,1.35E-08
29.826986,125695.21,5236.3916,2074.601,0.046859566,0.03692379,16.71966,57.118874,301190.3,5257.603,115315.16,677.9312,183448.47,49513.016,9.42E-09,1.27E-08
17.130445,105954.445,4246.9297,4494.751,0.054765187,0.045378074,13.22181,145.61902,526881.7,4304.7217,129961.92,1684.01,39728.45,30030.246,1.24E-08,9.99E-09
35.585194,89477.28,3971.941,2230.2637,0.021377476,0.03098162,16.37727,125.582504,123433.78,3742.28,93667.62,1241.5945,16021.722,31733.812,1.25E-08,1.06E-08
22.481256,80910.805,4773.512,2292.7043,0.110515155,0.09922167,5.0444584,118.418594,346868,4777.2515,103999.28,2804.8118,22414.166,28557.832,1.52E-08,2.17E-08
4.9179153,75158.61,2852.8542,2964.314,0.003528917,0.06531268,8.709991,96.184845,156584.84,2901.462,100614.87,1394.6688,40505.11,22337.066,1.60E-08,1.26E-08
25.013,91521.02,4650.0913,4138.978,0.048416737,0.038560435,15.08533,100.30813,323065.62,4563.757,95266.875,2493.8782,31424.643,34946.9,1.30E-08,1.13E-08
15.0534315,82166,2609.3792,1820.8699,0.03694799,0.053466745,10.0880575,214.77722,62139.848,2438.7307,71778.77,4943.264,1592.4755,57742.625,9.33E-09,1.49E-08
15.210083,68481.59,6832.1216,3908.2554,0.039039083,0.051377706,12.632535,121.50198,402765.53,6660.376,73520.625,7182.797,12492.791,23423.627,1.69E-08,1.11E-08
42.549435,116244.52,2827.7485,2506.7231,0.03462614,0.047352042,14.503421,56.702507,87115.7,2879.4111,96530.875,936.2609,39113.41,42038.387,1.02E-08,1.30E-08
29.976807,144264.7,3481.1995,3182.0833,0.02590582,0.061227288,8.552018,75.07185,276651.72,3604.9546,119597.914,2948.2498,18760.54,50556.406,7.95E-09,1.07E-08
10.634142,94208.99,2544.624,3945.8145,0.035608105,0.09704413,5.9654098,74.716194,415934.03,2306.4294,60682.73,3276.4094,16879.63,41627.99,1.15E-08,1.18E-08
42.430393,69884.17,6295.552,2280.4797,0.059566736,0.034137007,13.84507,64.71225,355533.53,6155.1133,67738.64,1157.5715,22671.91,24441.416,1.81E-08,1.11E-08
38.623825,126178.39,4518.6,2401.1265,0.107153386,0.050246973,11.809812,101.54562,319751.28,4273.26,128951.41,3697.5947,3418.314,62953.812,8.33E-09,1.16E-08
64.2255,81691.03,3823.4412,3065.0923,0.030166905,0.044078875,14.217594,74.14005,309784.12,4276.713,85317.64,2065.6274,34529.02,24486.049,1.50E-08,1.26E-08
19.317076,121337.85,2377.3035,5977.2046,0.045013636,0.05752091,9.605148,135.06325,51935.336,2363.3699,147827.44,3144.2102,27453.453,39144.902,9.64E-09,1.26E-08
3.6497276,116547.78,3568.2603,2583.7485,0.01119407,0.05602843,8.97868,68.4338,80114.19,4038.848,128978.35,1628.3403,37342.32,37580.29,1.03E-08,1.44E-08
27.040155,69641.86,4658.689,3571.9065,0.01963353,0.039845515,12.345812,126.544716,83921.89,4750.4644,72647.11,2063.9575,55751.492,20731.574,1.77E-08,1.65E-08
10.179362,97821.164,4401.7275,3413.3755,0.04781338,0.0801974,6.056212,68.16479,246384.83,4421.5103,88958.19,949.3837,75873.82,28979.402,1.38E-08,2.45E-08
32.5263,93115.24,3076.2407,4157.8574,0.026185922,0.05877542,9.440527,130.02916,197264.88,3031.4783,103601.43,1407.357,48613.633,29855.797,1.40E-08,1.34E-08
29.480562,214099,5509.2485,2846.4297,0.03757681,0.046998847,10.594865,65.71471,287584.22,5619.5264,212764.95,3878.4548,16040.037,93177.766,4.82E-09,8.04E-09
38.536064,118552.945,2287.3154,1134.3259,0.054149985,0.037357718,12.015635,49.938698,282148.03,2461.725,171379.02,568.6337,4206.816,49203.15,9.14E-09,1.11E-08
30.437117,58851.293,5070.0693,3224.8782,0.023565268,0.04865517,13.656148,165.07558,268477.78,4664.726,59351.562,2319.1504,26666.62,18224.342,1.96E-08,1.17E-08
30.161188,155580.69,8007.26,1485.0759,0.021290272,0.046275944,13.932453,184.29784,186036.02,8243.446,158444.22,1214.4464,9842.891,61942.055,7.40E-09,1.45E-08
14.255202,89611.79,3857.1826,4740.1826,0.019044075,0.04576896,11.803827,194.6837,117828.305,3418.226,95085.8,4003.4373,37747.168,30261.879,1.43E-08,1.34E-08
64.76448,115245.555,2524.2607,3838.2922,0.108888425,0.04283928,8.738259,60.65666,305115.78,2382.0854,73295.98,3450.063,16897.943,59497.098,8.27E-09,1.28E-08
15.788938,100621.875,6154.063,2359.3052,0.022541905,0.030922053,16.32187,150.28581,588385.25,5590.789,73677.99,2341.362,70389.63,40939.09,1.22E-08,1.43E-08
10.919629,69858.05,3937.669,3019.5933,0.023309194,0.06806272,7.932673,88.61212,298210.4,4025.731,81246.766,2936.4922,27056.764,22394.938,1.71E-08,8.43E-09
15.115603,78435.51,4858.9326,3124.1125,0.034007177,0.03853464,20.133135,64.47505,225154.5,4128.9565,92073.164,1914.9072,66757.62,25138.826,1.64E-08,1.46E-08
20.568745,65970.875,3390.516,1504.6357,0.050212674,0.0806404,7.244406,65.06917,136222.81,3153.9194,62326.21,1751.6855,15035.407,24979.092,1.74E-08,1.47E-08
23.393013,78361.484,5001.1284,3087.2795,0.037210222,0.05725865,9.996079,95.43041,250362.47,5115.1494,95617.76,1915.7567,5195.1216,29466.629,1.53E-08,2.21E-08
23.27931,65481.09,5162.6875,1638.582,0.040068474,0.0436601,13.218949,68.30086,291660.12,4676.9185,67528.05,4136.6533,1545.6049,33143.43,1.44E-08,1.32E-08
21.286407,64288.832,6372.5083,1965.2964,0.030097654,0.040036477,14.285881,169.8497,233575.66,6344.8623,67994.62,1407.9155,56047.57,20957.475,1.87E-08,1.95E-08
13.200492,76936.4,6561.164,2367.4246,0.050206106,0.051186338,8.006396,106.15439,465332.06,5496.228,49734.023,1369.4418,16597.078,27863.504,1.56E-08,1.73E-08
27.808737,94766.86,2540.2463,3308.1807,0.09440301,0.06760625,8.245163,37.17198,151818.48,2616.638,63028,2246.6685,36237.63,34219.27,1.27E-08,1.44E-08
26.258703,113608.586,4555.9595,2357.2617,0.11570471,0.04714036,9.108584,50.10544,276449.2,4881.943,106399.266,2249.5571,15151.149,42817.758,9.87E-09,1.63E-08
14.636081,108097.7,1992.1982,2133.248,0.04653849,0.04151599,15.180626,102.618935,95211.46,1929.6206,130350.81,2251.6724,45401.87,29884.371,1.18E-08,1.09E-08
30.01745,91414.61,5303.9097,3265.2734,0.04676701,0.028135309,16.691206,74.28093,149603.66,5761.58,118278.53,5451.5737,8225.486,33904.594,1.26E-08,2.01E-08
12.25287,104351.375,4229.517,2747.9832,0.034123257,0.06751244,7.8571243,63.387955,111691.63,3876.0261,171662,4694.3228,4958.9688,45368.5,9.94E-09,8.05E-09
76.04781,74983.56,4512.063,1495.533,0.064070225,0.027787019,17.390982,43.26093,154498.98,4068.1575,87354.3,4272.8076,6779.0503,35976.992,1.37E-08,1.32E-08
72.18746,144499.31,2093.609,2484.889,0.09575668,0.078399405,7.1089363,85.781,103969.04,2224.9507,208358.4,1171.6757,233910.27,46752.746,8.17E-09,1.37E-08
39.021103,81959.39,3860.7856,2566.8293,0.045985952,0.03477264,17.430862,124.07636,111293.85,3588.5925,59797.047,2015.0885,47668.953,29081.203,1.39E-08,1.58E-08
16.297293,125238.016,3923.3271,5539.801,0.027570836,0.056687023,8.174638,59.941555,287561.5,3882.8738,137236.77,4486.9175,49740.945,37966.71,1.05E-08,1.04E-08
21.19957,88474.75,6025.354,5332.993,0.055402264,0.061758365,7.8510084,38.86435,209853.44,5753.305,71896.75,7543.172,24767.902,32505.48,1.36E-08,2.19E-08
24.326584,127460.39,4829.951,2651.6262,0.09861951,0.046084628,11.791964,134.37633,132821.89,4944.4336,150438.77,5387.157,16028.019,55429,8.15E-09,1.43E-08
28.01512,81911.1,3659.0852,2250.967,0.047479,0.06565972,8.3696785,72.81475,112788.45,4264.6694,94961.28,5040.1704,4859.5347,38494.785,1.17E-08,1.84E-08
14.70871,86924.33,8287.786,1840.1283,0.031461805,0.050213348,10.599967,86.403915,346567.44,8072.7715,102075.914,1382.8707,35748.562,26761.979,1.57E-08,1.90E-08
31.093637,98102.27,2866.3015,2527.6355,0.12108733,0.07625378,7.082265,133.09938,120677.875,2912.49,109169.13,2730.3179,25655.75,41523.63,1.17E-08,2.03E-08
10.386276,115430.13,3704.1772,5986.549,0.018830115,0.047108755,11.350244,101.835594,112152.73,3857.613,94610.63,4669.8096,133169.42,39490.355,1.02E-08,1.33E-08
12.565101,63774.36,4489.8926,2653.321,0.086904995,0.085190564,4.6910944,31.563166,214199.88,4756.698,134594.81,1908.5974,12029.3,13818.412,2.17E-08,1.04E-08
8.973107,45413.477,4238.049,5526.361,0.04764239,0.079768986,5.5156846,86.17017,135129.73,4129.2275,62322.883,6722.2363,29977.14,13263.651,2.42E-08,1.21E-08
9.727505,51650.29,4170.8354,2931.8455,0.02247115,0.06650113,6.905604,164.29915,135784.31,3874.9463,31823.977,2287.7712,7784.637,19127.602,1.99E-08,1.32E-08
21.272928,66766.59,2181.038,2543.1235,0.072048314,0.039231237,15.182955,45.489574,119455.54,2403.7832,101403.32,1186.0237,284018.9,20157.453,2.02E-08,1.26E-08
