0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
24.055618,100857.73,3511.164,2895.5686,0.09716459,0.074588194,6.3672147,266.28967,192823.36,3106.2131,85854.7,2425.8013,7223.168,44129.902,1.05E-08,1.77E-08
22.940414,106589.9,2736.6028,3715.5525,0.07812383,0.067695364,7.2692275,171.25827,198663.06,2891.2654,101465.53,1878.2987,66772.39,33911.453,1.23E-08,8.66E-09
25.058153,91815.11,2831.914,2243.247,0.04182771,0.06481176,7.1124997,143.88058,327740.66,2846.4255,96908.59,5333.497,6989.9263,43330.04,1.23E-08,1.64E-08
60.13703,98723.484,3264.2244,2634.941,0.03286604,0.050755605,9.298841,183.8517,138653.08,3667.7986,138816.61,1173.6742,49014.41,32721.426,1.31E-08,1.23E-08
14.661524,87698.54,4673.218,2542.9138,0.026152555,0.07951081,4.4648557,134.25854,131171.73,5040.9536,141508.9,5720.124,8469.096,30199.865,1.35E-08,1.62E-08
35.634285,116578.36,2077.2915,2990.6763,0.023373757,0.030068407,16.243582,102.11251,117533.25,2180.929,147018.33,1535.5944,43005.8,38732.895,9.65E-09,1.46E-08
25.142025,72715.17,4110.3887,3844.7803,0.02075551,0.04789718,13.739777,76.95991,93222.484,4251.1113,95912.66,1177.3928,64621.01,22138.188,1.82E-08,9.74E-09
22.880562,116087.984,4811.8135,2403.7156,0.02158909,0.033016533,19.349876,37.66172,91825.45,4764.0073,104906.17,2157.331,17400.258,38153.023,9.61E-09,1.16E-08
12.965806,88055.29,10314.622,3759.0378,0.083184175,0.06970439,7.4609866,130.84892,796486.06,9444.256,88610.945,3613.787,45409.88,33004.805,1.42E-08,1.39E-08
29.07566,70429.125,4166.5225,4118.5034,0.043133814,0.07430797,8.544693,61.24773,230428.38,4592.84,56698.027,8418.011,11371.466,30908.072,1.47E-08,1.07E-08
31.650671,49962.492,2943.3052,4134.5513,0.047237076,0.031047827,15.568691,126.35743,329684.56,2957.3184,73119.69,3728.092,14433.823,15574.243,2.51E-08,1.40E-08
13.191292,62555.348,6652.8223,2396.4138,0.03548681,0.0389508,12.633944,22.36299,203934.56,6197.281,66233.31,1669.3392,13811.009,19684.365,2.00E-08,2.01E-08
24.408066,114385.37,2290.6052,2914.0332,0.061455213,0.07035583,5.917652,540.6429,194944.55,2606.8235,116578.24,1423.3113,26466.516,35940.195,9.95E-09,1.55E-08
16.207272,68018.37,4961.2817,2865.2751,0.03263123,0.032995217,15.442204,100.175644,278364.56,5204.4243,68529.22,1879.7717,17283.33,21674.785,1.90E-08,1.70E-08
22.417412,59217.91,5182.537,2370.2632,0.0861404,0.03651095,16.55957,103.02671,216914.81,6082.714,85432.11,587.1047,118981.31,14173.615,2.43E-08,1.43E-08
17.00714,52436.246,2861.6978,3888.7402,0.059297454,0.073566765,7.13522,92.20417,304178.53,3509.4873,60928.137,3047.6501,15163.825,17652.271,2.31E-08,1.31E-08
21.34709,80224.36,3961.995,1550.933,0.12514126,0.08899414,4.8164806,120.014946,154388.2,4111.416,84853.58,1038.8181,23210.91,26108.775,1.47E-08,1.51E-08
32.77458,150024.55,5737.624,3040.5464,0.028319629,0.02974029,16.69404,64.94972,291370.72,5283.257,154778.16,6010.157,13848.308,62678.54,8.18E-09,1.05E-08
11.652956,99440.12,4724.4365,2575.6777,0.04223884,0.04250932,11.063564,42.318417,204654.27,4842.7783,93552.9,1886.8303,16101.341,40226.78,1.12E-08,1.33E-08
