diversity_domestic,diversity_scot,diversity_captive,segregating_sites_domestic,segregating_sites_scot,segregating_sites_captive,tajimas_d_domestic,tajimas_d_scot,tajimas_d_captive,divergence_domestic_scot,divergence_domestic_captive,divergence_scot_captive,relatedness_domestic_scot,relatedness_domestic_captive,relatedness_scot_captive,fst_domestic_scot,fst_domestic_captive,fst_scot_captive,f2_domestic_scot,f2_domestic_captive,f2_scot_captive,f3_domestic_scot_captive,f3_scot_domestic_captive,f3_captive_domestic_scot,y2_domestic_scot,y2_domestic_captive,y2_scot_captive,y3_domestic_scot_captive,y3_scot_domestic_captive,y3_captive_domestic_scot,pc1_median_domestic,pc1_median_scot,pc1_median_captive,pc2_median_domestic,pc2_median_scot,pc2_median_captive,pc1_iqr_domestic,pc1_iqr_scot,pc1_iqr_captive,pc2_iqr_domestic,pc2_iqr_scot,pc2_iqr_captive,pc1_dist_domestic_scot,pc1_dist_domestic_captive,pc1_dist_scot_captive,pc2_dist_domestic_scot,pc2_dist_domestic_captive,pc2_dist_scot_captive
0.0005757977374967273,0.001236926024064055,0.0004914010435050629,0.0015220080050610714,0.0039666500732593035,0.0031030104783044818,0.6747536842053263,2.3024517742478645,-1.1931857786667126,0.0015296579247085055,0.0020725121215043134,0.0010652987212252654,-19.73193783566735,-36.557292890635445,-52.70333895697771,0.2558665748626876,0.5905014900223282,0.10424416798953262,0.0006232960439299818,0.0015389127310061655,0.00020113518744144522,0.00098053679374631,-0.00035724074981655557,0.0005583759372580437,0.0009111949126780435,0.0018268115997525135,0.0008195981994728308,0.0012684356624945625,0.000261222262215028,0.0008040764590108624,498.8097629982111,35.03687419623219,-282.02517779424824,13.896216423291126,-7.636875052351204,-10.76422235846414,2.0245924178693713,317.69227402590155,53.23270119659233,2.0371733702535746,137.13211115977384,5.37583557492327,463.7728888019789,780.8349407924593,317.0620519904804,21.53309147564233,24.660438781755268,3.127347306112936
2.6737616185122188e-05,0.0007231584386433763,0.0003650934509907763,0.00012779895043600137,0.0018573402668780733,0.0016344648102028804,-1.7434255295613812,3.708065797453184,-0.1454890359445815,0.0006757132762557697,0.001230155909167948,0.0007610876241673682,-19.683769486713846,-52.145376467726784,-119.10787945384551,0.28626280209514754,0.7252374211921102,0.16622695664978782,0.00030076524884095575,0.001034240375577855,0.00021696167935053584,0.0005590219725343196,-0.0002582567236934451,0.0004752184030439165,0.0003141340569335088,0.0010476091836704165,0.0005785408986719716,0.0005723907806268961,0.00010332249562822199,0.0006577651285394777,343.1722266439724,31.41071829244375,-261.8489870226699,-12.27436982830647,-0.0269972738709931,-20.536628159550673,0.26873417664211274,273.22084757414086,171.91602530288583,0.4325816880724247,118.21206505430055,19.298324213066483,311.7615083515287,605.0212136666423,293.25970531511365,12.247372554435477,8.262258331244203,20.50963088567968
0.000379527549369263,0.0010111454835603094,0.0013726286520886774,0.0010456847875843027,0.003961610682469241,0.003773294247967681,0.45493670329398983,1.276178096521684,2.1172595836958443,0.0007611196033710061,0.001160702971971541,0.001264478214983502,-2.5934259118698857,-7.183696295246798,-23.161861489394017,0.045166542273609056,0.1397424961658713,0.029552260678438635,6.57830869055614e-05,0.00028462487124159165,7.259114715831758e-05,0.00013890840549443776,-7.312531858886798e-05,0.00014571646574714853,0.0002555468615901347,0.00047438864592629895,0.0005781638889385218,0.0003286721801791125,0.00043244742319129454,0.000832030791791869,-221.80567092147916,-74.7228254697257,157.60286344372648,-27.678118735498053,3.258156542828873,-12.422641240525014,0.6528187260494178,260.4972099459156,223.51114050669733,0.9521419757150724,101.69139969976936,170.58638126998437,147.08284545175346,379.40853436520564,232.32568891345218,30.936275278326924,15.25547749497304,15.680797783353887
4.360583153877236e-05,0.000605521911942431,0.0009892977960559326,0.00017257113794416238,0.0026586034024981132,0.0024814408196118932,-1.121956990856205,0.7779228775440858,2.679755294375216,0.00038102501951939316,0.0011999188534000818,0.0011427629058174476,-2.739012692293463,-23.71188135553483,-132.65036882890837,0.08001989328086911,0.3982048007839265,0.17800118575569834,5.6461147778508384e-05,0.0006834670396042057,0.0003453530518188644,0.00019728756778186876,-0.00014082642000339172,0.0004861794718219742,7.826406354787623e-05,0.0007052699553735967,0.0006481140077904943,0.00021909048355124754,0.0001619345359680572,0.000980828369849446,-226.49548598389742,-106.07787748734616,289.31684397402296,-9.849609587813546,-9.821284671291243,33.524328674285044,0.2066446615516213,262.58392511069985,191.6312546915086,0.5123609072809163,67.46225874905383,142.94283861612507,120.41760849655127,515.8123299579204,395.3947214613691,0.028324916522302956,43.37393826209859,43.34561334557629
0.0003706802795182306,0.0008730973557874609,0.0009830830286570824,0.00098241243655351,0.0029269901573306762,0.0025566061329072355,0.6604680222643541,2.0569154572000334,2.4516805198880265,0.0007176421334182081,0.0009942181204798308,0.0009966546936486368,-4.697166683347839,-11.001110492764832,-27.896929263835517,0.07148271989445298,0.18989678008562183,0.03562264377460134,9.575331576539977e-05,0.00031733646639279487,6.856450142657202e-05,0.0001722626403657783,-7.650932460037283e-05,0.0001450738260269467,0.0002810934555244422,0.0005026766061521017,0.0005051131793203915,0.00035760278012500994,0.00036003935329342976,0.0006366153403553475,-230.9409452286272,-39.6294158607357,155.9972337867804,29.340625809380434,26.13510109933866,-63.07706753904735,0.743369674143338,179.010566758998,228.36214958691656,1.3671069979117334,120.00318336113659,177.67664824255482,191.31152936789152,386.9381790154076,195.6266496475161,3.205524710041775,92.41769334842778,89.212168638386
0.0005736852655998817,0.000684274603117168,0.0009622374706187972,0.0015382460420512748,0.003797886475023189,0.003660143126761463,0.5979908879913962,-0.08498569307857896,0.49148637660161104,0.0006298755582989594,0.0008055496396475651,0.0008479710975786425,-0.8693031890622157,-1.7083884648982135,-10.078810881965774,0.0007114588971161018,0.023888152896883286,0.01478857074615636,8.956239411741931e-07,3.758827153919384e-05,2.471506071082855e-05,6.884417384783687e-06,-5.9887934436091185e-06,3.070385415445551e-05,0.00028773825674073116,0.00032443090433909375,0.00036685236226924247,0.00029372705018450106,0.0003361485081148864,0.0005118225894642453,-87.27449277204676,-85.80042453298336,66.19464487584729,-4.872497286380163,-4.654360399776205,-8.677991135846353,2.2223749032803966,82.35219521244991,195.63350338673115,3.274405137469365,8.933363422001731,202.91203033964734,1.4740682390633992,153.46913764789406,151.99506940883066,0.21813688660395858,3.80549384946619,4.023630736070149
0.0002897944941321622,0.0006831058711600842,0.0005406036547707463,0.0007908036000691091,0.0023902838395427513,0.0021038896616203625,0.5051243088524262,1.8301003351271312,0.3957227433776969,0.0008026201271287627,0.0009689369989273089,0.0006425072926296867,-16.595660526819255,-22.2387833755821,-16.42342035525997,0.24526974369447174,0.40006032291618965,0.024436748168158884,0.00031616994448320474,0.000553737924475737,3.0652529664503545e-05,0.0004196276696472482,-0.00010345772516397731,0.0001341102548284689,0.00046106719154925444,0.0006986351715419434,0.0003722054652445585,0.0005645249167134129,0.00023809521041608532,0.0004044120822137419,342.1465796001562,-5.598014590792257,-92.37557205528955,-12.349089328435682,-5.9241159113544875,2.244661067326679,1.1335728545718666,254.75493382957444,213.1058026235188,1.1364180627000167,101.50764329548281,66.88785631704985,347.7445941909485,434.5221516554458,86.77755746449729,6.424973417081194,14.59375039576236,8.168776978681166
6.323061062222943e-05,0.0008136610110685905,0.00051335725751998,0.00023940465846659985,0.002363922226387621,0.002108145147176416,-0.958519035676103,2.889354014937991,0.17907590376139815,0.0011009327457167284,0.0014206687892528399,0.0007207449117639455,-33.89154859023787,-44.56366113786778,-27.7866043081764,0.43035998653303087,0.6626094529313419,0.041347740779695275,0.0006624869348727894,0.0011323748551804972,5.723577747009994e-05,0.0008688130062917793,-0.0002063260714190089,0.0002635618488890817,0.000694102240183901,0.0011639901604914877,0.00046406628300427335,0.0009004283116030051,0.00020050443411510335,0.0005202404776488269,460.0496368389032,-45.92828195356397,-202.4960885639967,-14.757639562700646,-0.7375405504034814,3.7062374301438585,0.5355481252424283,292.7181346960162,189.54181062371543,0.7444404730160148,71.35738124240153,15.974608403673795,505.97791879246716,662.5457254029,156.56780661043274,14.020099012297164,18.463876992844504,4.44377798054734
7.861856855996616e-05,0.0005193516157909635,0.0003113611499190535,0.0002848935593315698,0.0017111531393814415,0.0014110294212176808,-0.7891873034205622,2.1514838675990537,-0.18915276064735284,0.0004532790995671251,0.000851538035685077,0.0005894782069983106,-11.192831052545488,-36.58919128204353,-103.5444102667377,0.20510614367306834,0.6273585058073184,0.1732840667524388,0.0001542940073918313,0.0006565481764456039,0.00017412182414340538,0.00031836017984713784,-0.00016406617245527536,0.00033818799659866996,0.00019360329167178767,0.0006958574607255263,0.0004337976320389026,0.00035766946412714505,9.560963544022062e-05,0.0004938685715583475,250.90558694842764,19.754904229251686,-174.88818018738473,5.0536879240971775,3.833997400554801,6.711227391137661,0.3331629616900784,250.12352236705718,95.83914809376441,0.9980640116171768,75.46166124237307,58.483005808667514,231.15068271917596,425.79376713581235,194.6430844166364,1.2196905235423765,1.6575394670404835,2.87722999058286
0.0005641385893907246,0.0008971551365189418,0.001014320800302582,0.0015370141909692595,0.003288952799811612,0.0029484915580349456,0.5134267344627312,1.5942755938829314,1.7987768731470082,0.0007770656460300736,0.0010988806678662044,0.001075223548930101,-2.6806630672038017,-9.664108052681778,-40.49162379850782,0.030787555849418946,0.16400046265020285,0.058832025865158455,4.641878307544976e-05,0.0003096509730203907,0.00011948558051975245,0.00011829208778803009,-7.187330471255785e-05,0.0001913588852323289,0.000328488077770442,0.0005917202677155818,0.0005680631487790624,0.0004003613824832463,0.0003767042635468336,0.0006985192853836418,-184.71834529828828,-71.22304801752271,166.61395971291608,-16.153329564711115,-16.59504166151071,-33.30704484074187,1.0527797686522433,253.50863379647458,324.1142595417772,4.547907051025879,79.67919425651425,172.8000014456074,113.49529728076557,351.33230501120437,237.8370077304388,0.4417120967995949,17.153715276030752,16.712003179231157
